id,code,name,aliquot,month_ucim,year_ucim
concept102,3.01.044,"Papel, cartón, libros, periódicos revistas.",1,,
concept103,3.01.045,Artículos deportivos.,1,,
concept104,3.01.046,Juguetes.,1,,
concept105,3.01.047,"Joyas, relojes.",1,,
concept106,3.01.048,"Instrumentos y accesorios musicales, discos para fonógrafos.",1,,
concept107,3.01.049,"Cartuchos, cassettes.",1,,
concept108,3.01.050,"Flores, plantas naturales.",1,,
concept109,3.01.051,"Artículos fotográficos, cinematográficos.",1,,
concept110,3.01.052,Instrumentos de óptica.,1,,
concept111,3.02.001,Supermercados y Automercados. ((HASTA 500 MTS),1,,
concept112,3.02.002,Supermercados y Automercados. (MAS DE 500 MTS),1,,
concept113,3.02.003,Tiendas por departamento.,1,,
concept114,3.02.004,Hipermercados.,1,,
concept115,3.02.005,Abasto.,1,,
concept116,3.02.006,"Bodegas, pulperías.",1,,
concept117,3.02.007,"Farmacias, botica, expendio de medicinas.",1,,
concept118,3.02.008,"Perfumería, cosméticos, artículos de tocador preparados",1,,
concept119,3.02.009,Detal de carnes.,1,,
concept120,3.02.010,Aves de corral.,1,,
concept121,3.02.011,"Pescados, mariscos.",1,,
concept122,3.02.012,"Frutas, verduras, hortalizas.",1,,
concept123,3.02.013,Bebidas no alcohólicas envasadas.,1,,
concept124,3.02.014,Hielo.,1,,
concept125,3.02.015,alimentos para animales.,1,,
concept126,3.02.016,"Charcutería, páspalos, delicateses.",1,,
concept127,3.02.017,"Detergentes, artículos de limpieza.",1,,
concept128,3.02.018,"Telas, mercerías.",1,,
concept129,3.02.019,"Prendas de vestir para damas, caballeros y niños.",1,,
concept130,3.02.020,Lencería.,1,,
concept131,3.02.021,Calzado.,1,,
concept132,3.02.022,"Carteras, maletas, maletines, neceseres y otro, artículos de cuero, sucedáneos del cuero.",1,,
concept133,3.02.023,Prenda de vestir playera.,1,,
concept134,3.02.024,"Muebles, accesorios para el hogar.",1,,
concept135,3.02.025,"Artefactos, artículos, accesorios, para uso domésticos, al detal eléctrico o no eléctricos.",1,,
concept136,3.02.026,"Equipos de ventilación, aire acondicionado, refrigeración.",1,,
concept137,3.02.027,Instrumentos musicales.,1,,
concept138,3.02.028,"Discos, cartuchos, cassettes.",1,,
concept139,3.02.029,Lámparas.,1,,
concept140,3.02.030,"Persianas, alfombras, cortinas, tapicerías, cuadros, marcos, cañuelas, cristales, espejos",1,,
concept141,3.02.031,"Equipos e instrumentos de medición, control, ubicación y sus accesorios, máquina o equipos especializados para la construcción, tarjetas magnéticas y no magnéticas para comunicaciones.",1,,
concept142,3.02.032,"Artículos de ferretería, pintura, lacas, barnices.",1,,
concept143,3.02.033,Repuestos para artefactos eléctricos y no eléctricos.,1,,
concept144,3.02.034,Materiales de construcción.,1,,
concept145,3.02.035,"Cuchillería, vajilla  y otros artículos de vidrio, loza o porcelana.",1,,
concept146,3.02.036,"Automóviles, camiones, autobuses.",1,,
concept147,3.02.037,"Motocicletas, motonetas.",1,,
concept148,3.02.038,Bicicletas.,1,,
concept149,3.02.039,Repuestos y accesorios para vehículos.,1,,
concept150,3.02.040,"Acumuladores, baterías.",1,,
concept151,3.02.041,"Llantas, cámaras de caucho.",1,,
concept152,3.02.042,"Lanchas, motores para lanchas y otras embarcaciones.",1,,
concept153,3.02.043,"Artículos, prendas y accesorios policiales, militares, seguridad personal.",1,,
concept154,3.02.044,Equipo o audio para vehículo.,1,,
concept155,3.02.045,"Aceites, grasas, lubricantes y aditivos especiales para maquinarias.",1,,
concept156,3.02.046,Gas natural en bombonas.,1,,
concept157,3.02.047,Bazares.,1,,
concept158,3.02.048,Aceites y grasas comestibles (refinadas).,1,,
concept159,3.02.049,"Bombones, caramelos, confitería.",1,,
